"","dens","dens.w","gini","gini.w","dens.f","dens.f.w","gini.f","gini.f.w","dens.m","dens.m.w","gini.m","gini.m.w","eo.FF","eo.MM","eo.cross","eo.ck","eo.dk","eo.u","kinDegree","group","isPost","quarter","netID"
"1",0.011754334410814,0.787540405524537,0.491265060240964,0.508901276748786,0.0155038759689922,0.325581395348837,0.402823920265781,0.434662236987818,0.000641025641025641,0.000320512820512821,0.95,0.95,1.18118708781673,0.032558362035974,1.34360031239153,13.8188557474272,3.15430402930403,0.386241309710697,0.264240476190476,"groupV",1,1,"groupV.1.1"
"2",0.0227740229209521,1.47380586247429,0.410726778080062,0.511900932063209,0.0359911406423034,0.724964867109634,0.274776386404293,0.357907704914594,0.00128205128205128,0.000549448717948718,0.9,0.916665888886296,1.17299192480682,0.0288927305320504,1.34956509423514,12.706682860437,3.28854407625665,0.429522513538353,0.228639464435803,"groupV",1,1,"groupV.1.1"
"3",0.0101381134293271,0.623493975903614,0.488912170420814,0.562151043197179,0.0132890365448505,0.252491694352159,0.437984496124031,0.513463892288862,0.00192307692307692,0.00288461538461538,0.85,0.85,1.16426725729051,0.106410256410256,1.31899224806202,12.6172161172161,4.35792004048583,0.398438403701562,0.247355263157895,"groupV",1,1,"groupV.1.1"
"4",0.0251248898031149,1.62055539230091,0.4142887338829,0.519809470439899,0.0431893687707641,0.997674418604651,0.275790101371497,0.346723044397463,0.00384615384615385,0.00384615384615385,0.745833333333333,0.7825,1.34966648638904,0.0676406281057444,1.23923922841175,13.2180359323216,3.15430402930403,0.411990730358077,0.23230303030303,"groupV",1,1,"groupV.1.1"
"5",0.014252130473112,0.935888095797825,0.444789467146938,0.542719941128185,0.0199335548172757,0.378735946843854,0.361757105943152,0.464301673436667,0.00320512820512821,0.00534182692307692,0.83,0.83,1.09038994348452,0.11073059137412,1.3558186161405,15.0521498609896,2.90528063863103,0.341517223722856,0.259689952589274,"groupV",1,1,"groupV.1.1"
"6",0.0189538642374376,1.24716426682339,0.413561221630709,0.49525762624968,0.026578073089701,0.558139534883721,0.328972868217054,0.462679955703211,0.00256410256410256,0.0041025641025641,0.8,0.8375,1.20272849367357,0.106086820980438,1.29894677316746,14.6600034885749,2.20801282051282,0.381091425581221,0.256839047619048,"groupV",1,1,"groupV.1.1"
"7",0.0180722891566265,1.17831325301205,0.412283279459301,0.492017148347993,0.0287929125138427,0.639202657807309,0.325134168157424,0.42049025769956,0.00256410256410256,0.00256410256410256,0.8,0.83,1.28315634999898,0.0669144250432594,1.27448637466115,13.6402336402336,3.28218121968122,0.389720961149533,0.248435135135135,"groupV",1,1,"groupV.1.1"
"8",0.0133705553923009,0.882454382897443,0.494770289951013,0.550687986529297,0.0199335548172757,0.43189196013289,0.46640826873385,0.542040407875406,0.000641025641025641,0.000213673076923077,0.95,0.95,1.23714825421371,0.0220342834449492,1.31899324730114,12.4231237347604,5.09542948748718,0.382674707537376,0.227804902481148,"groupV",1,1,"groupV.1.1"
"9",0.0124889803114899,0.849250661181311,0.454854712969525,0.505049610205528,0.0193798449612403,0.523255813953488,0.399335548172757,0.442721791559001,0.00192307692307692,0.00288461538461538,0.85,0.85,1.49633574359977,0.0962386877828054,1.14926898084815,14.019129019129,3.68002136752137,0.360491889063318,0.263903703703704,"groupV",1,1,"groupV.1.1"
"10",0.0239494563620335,1.51566074493094,0.399659989651859,0.487448366368309,0.0409745293466224,0.989243554817276,0.26681332495286,0.355993006636736,0.00192307692307692,0.00192305769230769,0.85,0.864286142861429,1.43766305165245,0.0689376794674096,1.19245283393794,13.1397958604204,2.74369455426868,0.428751532624385,0.22073224816913,"groupV",1,1,"groupV.1.1"
"11",0.0171907140758155,1.14318248604173,0.436927195963341,0.527946371953981,0.0293466223698782,0.689645625692137,0.317683194383502,0.380504700643246,0.00192307692307692,0.00192307692307692,0.85,0.875,1.33174297870923,0.0656063235010604,1.24957160342717,12.8856675239654,2.81873977086743,0.437192290991683,0.225193617021277,"groupV",1,1,"groupV.1.1"
"12",0.0179253599764913,1.20548045841904,0.404009480545131,0.499619295023962,0.026578073089701,0.584717607973422,0.292151162790698,0.417547568710359,0.00192307692307692,0.00144230769230769,0.85,0.85,1.23283396526243,0.0486559908492994,1.30918561424743,12.903971028971,1.12909746503496,0.491579848722706,0.206093181818182,"groupV",1,1,"groupV.1.1"
"13",0.0193946517778431,1.30591036732295,0.433552391383717,0.521381925797871,0.0321151716500554,0.711889944629014,0.328789093825181,0.375764125311589,0.00384615384615385,0.00512826923076923,0.745833333333333,0.796873851576855,1.24063899238383,0.0863933129715497,1.28797453823232,11.0044481603526,4.23341129722044,0.471622622041112,0.202531779626991,"groupV",1,1,"groupV.1.1"
"14",0.020129297678519,1.33658536585366,0.407439978893677,0.48675424589926,0.0365448504983389,0.906312292358804,0.263565891472868,0.383533383345836,0.00256410256410256,0.00358974358974359,0.8,0.864285714285714,1.40753045404208,0.0919871794871795,1.19781976744186,12.210209145693,3.73937655086849,0.436078898060465,0.222499193548387,"groupV",1,1,"groupV.1.1"
"15",0.00690567146635322,0.4281516309139,0.540374263009485,0.545277885736494,0.00941306755260244,0.188261351052049,0.537619699042408,0.575581395348837,0.000641025641025641,0.000641025641025641,0.95,0.95,1.21566105812167,0.0703680727874276,1.30835521380345,10.0937728937729,1.65600961538462,0.594811616954474,0.18897,"groupV",1,1,"groupV.1.1"
"16",0.0154275639141934,1.02335906553041,0.440963855421687,0.522008293266207,0.0238095238095238,0.515871428571429,0.282314764737696,0.371021220315741,0.00128205128205128,0.000854692307692308,0.9,0.9,1.23093261098803,0.0438471184408661,1.31236459296159,13.1995742539732,2.54770474885485,0.432589268587678,0.243717385561186,"groupV",1,1,"groupV.1.1"
"17",0.00749338818689392,0.547017337643256,0.534609024332625,0.57187654728503,0.0127353266888151,0.356589147286822,0.455005055611729,0.5,0,0,NA,NA,1.44547095678029,0,1.21961611978337,14.4196755625327,2.36572802197802,0.386241309710697,0.230982142857143,"groupV",1,1,"groupV.1.1"
"18",0.024390243902439,1.74390243902439,0.415807809551459,0.488836464740079,0.0415282392026578,1.06935215946844,0.297984496124031,0.364416346805148,0.00448717948717949,0.00504807692307692,0.65,0.705555555555556,1.35720481069318,0.0686457772996235,1.23482578468044,12.8622106049291,3.53710791635549,0.414740668485467,0.233120388349515,"groupV",1,1,"groupV.1.1"
"19",0.0146929180135175,1.00891184249192,0.459156626506024,0.524155376761059,0.0210409745293466,0.427832026578073,0.354345165238678,0.395349729319915,0.00128205128205128,0.000854692307692308,0.9,0.9,1.11592877269834,0.0423571352667096,1.37341729810777,12.4103966502207,2.17181615605625,0.478685079125595,0.216400416755191,"groupV",1,1,"groupV.1.1"
"20",0.0249779606229797,1.67664560681751,0.391778880226789,0.483587983217787,0.0415282392026578,0.90843023255814,0.297984496124031,0.379933554817276,0.00448717948717949,0.00616987179487179,0.696428571428572,0.770454545454545,1.22811196281379,0.08936876283245,1.29320189684293,12.9777080062794,3.40664835164835,0.414050684009868,0.228153142857143,"groupV",1,1,"groupV.1.1"
"21",0.0141052012929768,1.00616970908022,0.482555220883534,0.545716114313844,0.0232558139534884,0.627906046511628,0.351605758582503,0.435544874364499,0.00256410256410256,0.00427348717948718,0.8,0.83000072000288,1.42641326572034,0.10193478434314,1.18339516817842,14.3306833348341,2.86223899284694,0.373842659195939,0.246652224892185,"groupV",1,1,"groupV.1.1"
"22",0.0248310314428445,1.62504773288275,0.399729093890354,0.498517607493517,0.0404208194905869,0.866798200442968,0.275565466709143,0.399567848440157,0.00512820512820513,0.00854692307692308,0.6875,0.746666666666667,1.23485431422094,0.11110673634165,1.27980424413488,14.2515966931051,3.6037467731773,0.353019587749049,0.256519503505585,"groupV",1,1,"groupV.1.1"
